model,cv_roc_auc_mean,cv_roc_auc_std,cv_average_precision_mean,cv_average_precision_std,cv_brier_mean,holdout_roc_auc,holdout_average_precision,holdout_brier_score,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp
Random Forest,0.7779406628824214,0.019649462718955287,0.4065588784903122,0.040620554337666495,0.09117671529219629,0.7242594190394018,0.3371217497463589,0.0956111516170334,0.88,0.625,0.03289473684210526,0.0625,1095,3,147,5
Regressao logistica,0.7783111445384617,0.028936253438512676,0.3897328482358534,0.030080726957762045,0.091233587266694,0.724846611063177,0.32449732424227123,0.09669108522614611,0.8824,0.5675675675675675,0.13815789473684212,0.2222222222222222,1082,16,131,21
Dummy (prevalencia),0.5,0.0,0.12186666666666665,0.0006531972647421769,0.10701542222222223,0.5,0.1216,0.10681351111111109,0.8784,0.0,0.0,0.0,1098,0,152,0
